Symbol,Company
AALI,Astra Agro Lestari Tbk.
ABMM,ABM Investama Tbk.
ACES,Ace Hardware Indonesia Tbk.
ADHI,Adhi Karya (Persero) Tbk.
ADMR,Adaro Minerals Indonesia Tbk.
ADRO,Adaro Energy Indonesia Tbk.
AGII,Samator Indo Gas Tbk.
AGRO,Bank Raya Indonesia Tbk.
AKRA,AKR Corporindo Tbk.
AMRT,Sumber Alfaria Trijaya Tbk.
ANTM,Aneka Tambang Tbk.
APIC,Pacific Strategic Financial Tbk.
ARTO,Bank Jago Tbk.
ASII,Astra International Tbk.
ASSA,Adi Sarana Armada Tbk.
AVIA,Avia Avian Tbk.
BABP,Bank MNC Internasional Tbk.
BBCA,Bank Central Asia Tbk.
BBHI,Allo Bank Indonesia Tbk.
BBKP,Bank KB Bukopin Tbk.
BBNI,Bank Negara Indonesia (Persero) Tbk.
BBRI,Bank Rakyat Indonesia (Persero) Tbk.
BBTN,Bank Tabungan Negara (Persero) Tbk.
BFIN,BFI Finance  Indonesia Tbk.
BMRI,Bank Mandiri (Persero) Tbk.
BMTR,Global Mediacom Tbk.
BRIS,Bank Syariah Indonesia Tbk.
BRMS,Bumi Resources Minerals Tbk.
BRPT,Barito Pacific Tbk.
BSDE,Bumi Serpong Damai Tbk.
BSSR,Baramulti Suksessarana Tbk.
BTPS,Bank BTPN Syariah Tbk.
BUKA,Bukalapak.com Tbk.
CPIN,Charoen Pokphand Indonesia Tbk
CTRA,Ciputra Development Tbk.
DOID,Delta Dunia Makmur Tbk.
DSNG,Dharma Satya Nusantara Tbk.
ELSA,Elnusa Tbk.
EMTK,Elang Mahkota Teknologi Tbk.
ENRG,Energi Mega Persada Tbk.
ERAA,Erajaya Swasembada Tbk.
ESSA,Surya Esa Perkasa Tbk.
EXCL,XL Axiata Tbk.
GGRM,Gudang Garam Tbk.
GOTO,GoTo Gojek Tokopedia Tbk.
HEAL,Medikaloka Hermina Tbk.
HMSP,H.M. Sampoerna Tbk.
HRUM,Harum Energy Tbk.
ICBP,Indofood CBP Sukses Makmur Tbk.
INCO,Vale Indonesia Tbk.
INDF,Indofood Sukses Makmur Tbk.
INDY,Indika Energy Tbk.
INKP,Indah Kiat Pulp & Paper Tbk.
INTP,Indocement Tunggal Prakarsa Tbk.
IPPE,Indo Pureco Pratama Tbk.
ISAT,Indosat Tbk.
ITMG,Indo Tambangraya Megah Tbk.
JPFA,Japfa Comfeed Indonesia Tbk.
JSMR,Jasa Marga (Persero) Tbk.
KLBF,Kalbe Farma Tbk.
LPPF,Matahari Department Store Tbk.
LSIP,PP London Sumatra Indonesia Tbk.
MAPI,Mitra Adiperkasa Tbk.
MDKA,Merdeka Copper Gold Tbk.
MEDC,Medco Energi Internasional Tbk.
MIKA,Mitra Keluarga Karyasehat Tbk.
MLPL,Multipolar Tbk.
MNCN,Media Nusantara Citra Tbk.
MPMX,Mitra Pinasthika Mustika Tbk.
MTEL,Dayamitra Telekomunikasi Tbk.
MTMH,Murni Sadar Tbk.
MYOR,Mayora Indah Tbk.
PGAS,Perusahaan Gas Negara Tbk.
PNBN,Bank Pan Indonesia Tbk
PNLF,Panin Financial Tbk.
PTBA,Bukit Asam Tbk.
PTPP,PP (Persero) Tbk.
PWON,Pakuwon Jati Tbk.
RAJA,Rukun Raharja Tbk.
RMKE,RMK Energy Tbk.
SCMA,Surya Citra Media Tbk.
SGER,Sumber Global Energy Tbk.
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.
SMDR,Samudera Indonesia  Tbk.
SMGR,Semen Indonesia (Persero) Tbk.
SMRA,Summarecon Agung Tbk.
SRTG,Saratoga Investama Sedaya Tbk.
TAPG,Triputra Agro Persada Tbk.
TBIG,Tower Bersama Infrastructure Tbk.
TINS,Timah Tbk.
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM,Telkom Indonesia (Persero) Tbk.
TOBA,TBS Energi Utama Tbk.
TOWR,Sarana Menara Nusantara Tbk.
TPIA,Chandra Asri Petrochemical Tbk.
UNTR,United Tractors Tbk.
UNVR,Unilever Indonesia Tbk.
WIFI,Solusi Sinergi Digital Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WSKT,Waskita Karya (Persero) Tbk.
